               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.040073,           0.0089236,           0.0010566,              0.7525,             0.53326,             0.58778,             0.27195,            0.060492,            0.010154,           0.0068114,            0.006106,            0.006106,            0.006106
                 120,            0.047187,           0.0088412,          0.00096842,              0.7446,             0.56777,             0.58686,              0.2732,            0.060989,            0.010042,           0.0046505,            0.006073,            0.006073,            0.006073
                 121,            0.046982,            0.010376,          0.00096093,             0.70398,             0.55682,             0.56449,             0.26876,            0.056931,            0.010446,           0.0040037,             0.00604,             0.00604,             0.00604
                 122,            0.043717,           0.0085926,          0.00087108,             0.77039,             0.51178,             0.55365,             0.25343,             0.05777,            0.010967,           0.0037642,            0.006007,            0.006007,            0.006007
                 123,            0.042552,           0.0096693,           0.0012412,             0.80098,             0.51084,             0.54868,             0.26422,            0.058402,            0.011435,            0.003888,            0.005974,            0.005974,            0.005974
                 124,            0.043805,           0.0084037,           0.0013145,             0.76989,             0.47027,             0.50745,             0.23136,            0.064044,             0.01136,           0.0045322,            0.005941,            0.005941,            0.005941
                 125,            0.042082,           0.0088254,          0.00083138,             0.83394,             0.50535,             0.55484,             0.26959,            0.058573,            0.011094,            0.004491,            0.005908,            0.005908,            0.005908
                 126,            0.042078,           0.0085054,           0.0018156,             0.73134,             0.54886,             0.60664,             0.28529,            0.055497,           0.0099406,           0.0043737,            0.005875,            0.005875,            0.005875
                 127,            0.038846,           0.0082561,            0.001355,             0.82633,             0.47675,             0.56391,             0.27519,            0.058879,            0.010308,           0.0063702,            0.005842,            0.005842,            0.005842
                 128,            0.038325,           0.0085705,          0.00091937,             0.84577,             0.50408,             0.59824,              0.2815,            0.058715,             0.01016,           0.0058215,            0.005809,            0.005809,            0.005809
                 129,            0.041942,           0.0089258,           0.0010117,             0.89154,             0.49183,             0.60831,             0.30856,             0.05394,            0.010015,           0.0042214,            0.005776,            0.005776,            0.005776
                 130,            0.040225,           0.0099142,           0.0010225,             0.88809,             0.49012,             0.63742,             0.31412,            0.055192,           0.0095157,           0.0033884,            0.005743,            0.005743,            0.005743
                 131,            0.036711,           0.0080206,          0.00096957,             0.79787,             0.53552,             0.62496,             0.31661,            0.055989,           0.0094776,           0.0030583,             0.00571,             0.00571,             0.00571
                 132,            0.038319,           0.0089775,           0.0011675,             0.89041,             0.52309,             0.63112,             0.28845,            0.058346,           0.0095497,           0.0030984,            0.005677,            0.005677,            0.005677
                 133,            0.038074,           0.0069649,           0.0010799,             0.81767,             0.53408,             0.61008,             0.28853,            0.056385,            0.010153,           0.0033398,            0.005644,            0.005644,            0.005644
                 134,            0.040795,           0.0090689,           0.0010349,             0.81637,             0.55183,             0.62118,             0.29901,            0.056603,           0.0099767,           0.0035238,            0.005611,            0.005611,            0.005611
                 135,            0.038431,           0.0091276,           0.0010057,             0.89982,             0.51732,             0.63847,             0.30493,            0.056584,           0.0096065,           0.0032061,            0.005578,            0.005578,            0.005578
                 136,            0.042231,           0.0089943,          0.00076762,             0.86453,              0.5493,             0.64983,             0.30442,            0.056833,           0.0093498,           0.0030861,            0.005545,            0.005545,            0.005545
                 137,            0.044243,           0.0082543,          0.00078762,             0.74089,             0.58431,             0.63346,             0.32566,            0.056676,           0.0093984,           0.0032426,            0.005512,            0.005512,            0.005512
                 138,            0.039299,           0.0077187,          0.00079234,             0.78558,             0.59107,             0.64492,             0.32243,            0.057455,           0.0092166,           0.0039959,            0.005479,            0.005479,            0.005479
                 139,            0.036649,             0.00826,          0.00084726,             0.79343,             0.56705,             0.63183,              0.3097,            0.054214,           0.0093507,           0.0045934,            0.005446,            0.005446,            0.005446
                 140,            0.040553,           0.0087748,           0.0012856,              0.8088,              0.5493,             0.64526,             0.30549,            0.056017,           0.0094977,           0.0047659,            0.005413,            0.005413,            0.005413
                 141,             0.03949,           0.0089475,           0.0010913,              0.8874,             0.53021,              0.6287,             0.30248,            0.058482,           0.0099131,           0.0052354,             0.00538,             0.00538,             0.00538
                 142,            0.043254,           0.0082135,          0.00085077,             0.90375,             0.55777,             0.63255,              0.2853,            0.057363,            0.010246,           0.0060355,            0.005347,            0.005347,            0.005347
                 143,            0.037441,           0.0075053,          0.00095169,             0.91705,             0.53579,             0.62301,             0.29639,            0.055463,            0.010033,           0.0062449,            0.005314,            0.005314,            0.005314
                 144,            0.033472,            0.007913,          0.00078395,              0.9233,             0.54014,             0.63217,             0.28584,            0.055418,           0.0098569,           0.0064486,            0.005281,            0.005281,            0.005281
                 145,            0.035263,           0.0083839,          0.00093723,             0.82369,             0.58687,             0.63345,             0.27172,             0.05573,           0.0097058,           0.0067561,            0.005248,            0.005248,            0.005248
                 146,            0.033983,           0.0073604,          0.00093258,             0.69138,             0.56765,             0.57852,             0.25518,            0.059267,           0.0096846,             0.00612,            0.005215,            0.005215,            0.005215
                 147,            0.036949,           0.0086729,            0.001117,             0.67459,             0.61133,             0.61332,             0.27609,            0.055654,           0.0096057,           0.0059523,            0.005182,            0.005182,            0.005182
                 148,            0.044435,           0.0085634,           0.0010732,             0.70477,             0.56408,             0.57208,             0.25534,            0.054675,           0.0099993,           0.0059963,            0.005149,            0.005149,            0.005149
                 149,            0.037665,           0.0078897,            0.001038,             0.76063,             0.57083,               0.581,             0.25724,            0.057113,            0.010383,           0.0059249,            0.005116,            0.005116,            0.005116
                 150,            0.040007,            0.007829,          0.00098309,              0.8209,              0.5493,             0.61895,             0.29148,             0.05558,            0.010422,           0.0054051,            0.005083,            0.005083,            0.005083
                 151,            0.039437,            0.008987,          0.00081748,             0.88257,             0.54317,             0.62158,             0.28701,            0.056223,            0.010539,           0.0050035,             0.00505,             0.00505,             0.00505
                 152,            0.038032,           0.0070722,          0.00079006,             0.86919,             0.50442,             0.59295,             0.27195,            0.057397,            0.011011,            0.006056,            0.005017,            0.005017,            0.005017
                 153,            0.038719,           0.0076954,          0.00072808,             0.93216,             0.50616,             0.59892,             0.27153,             0.05824,            0.011171,           0.0053721,            0.004984,            0.004984,            0.004984
                 154,            0.039674,           0.0073675,          0.00065889,             0.84681,             0.52388,             0.59696,             0.25184,            0.062072,            0.010828,           0.0051964,            0.004951,            0.004951,            0.004951
                 155,            0.039129,            0.008848,          0.00074253,             0.87221,             0.53533,              0.6099,             0.26188,            0.057245,            0.010466,           0.0036054,            0.004918,            0.004918,            0.004918
                 156,            0.037527,           0.0078928,          0.00079877,             0.82574,             0.54097,             0.59287,             0.26294,            0.057011,            0.010572,           0.0034044,            0.004885,            0.004885,            0.004885
                 157,            0.036777,           0.0078125,          0.00089746,             0.83006,             0.53623,             0.59136,             0.26679,            0.055521,            0.010522,           0.0030714,            0.004852,            0.004852,            0.004852
