               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.054016,            0.011447,           0.0022651,             0.64726,              0.4745,             0.51531,             0.22992,             0.06422,           0.0094589,           0.0048632,           0.0084952,           0.0084952,           0.0084952
                  78,            0.050769,             0.01039,           0.0019296,             0.66393,             0.49367,             0.52581,             0.21068,            0.066236,           0.0091488,           0.0043861,           0.0084754,           0.0084754,           0.0084754
                  79,            0.054003,            0.010267,           0.0019429,             0.74673,             0.45508,             0.52085,             0.23458,            0.065493,            0.009568,           0.0028859,           0.0084556,           0.0084556,           0.0084556
                  80,            0.052087,            0.011035,           0.0019345,             0.62017,             0.51437,             0.54643,             0.23782,            0.067754,           0.0093125,           0.0028537,           0.0084358,           0.0084358,           0.0084358
                  81,            0.052986,            0.010006,           0.0024227,             0.67693,             0.48805,             0.51733,             0.23056,            0.065549,           0.0091033,           0.0031182,            0.008416,            0.008416,            0.008416
                  82,            0.052388,            0.010975,           0.0020637,             0.76231,             0.45079,             0.53306,             0.23754,            0.065433,           0.0092029,           0.0033119,           0.0083962,           0.0083962,           0.0083962
                  83,            0.054077,            0.010388,           0.0023696,             0.83839,             0.47088,             0.54928,             0.24448,            0.063515,           0.0092711,           0.0038832,           0.0083764,           0.0083764,           0.0083764
                  84,            0.050516,            0.010816,           0.0021352,             0.82926,             0.50438,             0.59092,             0.28368,            0.065449,           0.0091517,           0.0027544,           0.0083566,           0.0083566,           0.0083566
                  85,            0.052214,           0.0098121,           0.0014117,             0.72343,             0.55353,             0.59016,             0.22909,            0.064257,           0.0095507,           0.0026097,           0.0083368,           0.0083368,           0.0083368
                  86,            0.047938,            0.010288,           0.0014095,             0.66397,              0.5493,             0.56806,             0.25552,            0.060715,            0.009342,           0.0049452,            0.008317,            0.008317,            0.008317
                  87,             0.05088,           0.0094654,           0.0019205,             0.67393,             0.50705,             0.55654,             0.23533,            0.062227,           0.0095476,            0.011545,           0.0082972,           0.0082972,           0.0082972
                  88,            0.048816,            0.010429,           0.0018882,             0.54673,             0.47646,             0.45025,             0.13577,            0.067346,           0.0096137,            0.012806,           0.0082774,           0.0082774,           0.0082774
                  89,            0.047535,            0.010178,           0.0018559,             0.68218,             0.56111,             0.60505,              0.2584,            0.061148,           0.0091528,            0.011255,           0.0082576,           0.0082576,           0.0082576
                  90,            0.052783,            0.010139,           0.0013761,             0.74044,             0.44112,             0.53153,              0.2004,            0.063892,           0.0088654,             0.01137,           0.0082378,           0.0082378,           0.0082378
                  91,            0.055199,            0.010587,           0.0013657,             0.74327,             0.49436,             0.54836,              0.2064,            0.064859,           0.0093378,            0.011516,            0.008218,            0.008218,            0.008218
                  92,            0.045981,           0.0093816,           0.0014483,             0.68526,             0.56831,             0.59171,             0.25942,            0.060068,           0.0093021,            0.011259,           0.0081982,           0.0081982,           0.0081982
                  93,            0.046433,            0.010281,           0.0013994,             0.59468,              0.4948,             0.49729,             0.22382,            0.062291,            0.010039,            0.010886,           0.0081784,           0.0081784,           0.0081784
                  94,            0.049368,             0.01015,           0.0012961,             0.65031,             0.47744,              0.5257,             0.24575,              0.0605,            0.009134,            0.010393,           0.0081586,           0.0081586,           0.0081586
                  95,            0.052583,            0.010224,           0.0020665,             0.64097,             0.43266,             0.50009,             0.20952,            0.065915,            0.010176,           0.0065775,           0.0081388,           0.0081388,           0.0081388
                  96,            0.048708,            0.010569,           0.0015106,             0.77446,             0.44283,             0.53694,             0.23453,            0.062102,            0.009628,           0.0085505,            0.008119,            0.008119,            0.008119
                  97,            0.044417,            0.009934,           0.0018672,             0.69441,             0.45411,             0.52849,              0.2268,            0.063593,           0.0093504,            0.008097,           0.0080992,           0.0080992,           0.0080992
                  98,            0.048863,            0.010195,           0.0019682,             0.76849,             0.48754,             0.54001,             0.24817,            0.064502,           0.0090957,           0.0050581,           0.0080794,           0.0080794,           0.0080794
                  99,             0.04823,            0.010039,           0.0017779,             0.76701,              0.4804,              0.5719,             0.27092,            0.061775,            0.009342,           0.0043386,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046147,            0.010352,           0.0012317,             0.72802,             0.47787,             0.55217,             0.26519,             0.06083,           0.0094204,           0.0039149,           0.0080398,           0.0080398,           0.0080398
                 101,            0.048343,           0.0091277,           0.0019656,             0.64575,             0.49606,             0.54002,             0.23119,            0.067572,           0.0090985,           0.0044728,             0.00802,             0.00802,             0.00802
                 102,            0.049393,            0.010085,            0.001717,             0.80213,             0.46733,             0.55548,               0.267,            0.064211,           0.0090766,           0.0049806,           0.0080002,           0.0080002,           0.0080002
                 103,             0.04873,           0.0091365,           0.0019511,             0.60297,             0.57083,              0.5847,             0.27639,            0.061267,           0.0089052,           0.0021253,           0.0079804,           0.0079804,           0.0079804
                 104,            0.046737,           0.0092631,           0.0013104,             0.68911,             0.57531,             0.61745,             0.28991,            0.061076,           0.0085072,            0.002649,           0.0079606,           0.0079606,           0.0079606
                 105,            0.044543,           0.0094761,           0.0012065,             0.79865,             0.53282,             0.60791,             0.27269,             0.06483,           0.0084433,           0.0033995,           0.0079408,           0.0079408,           0.0079408
                 106,            0.048576,           0.0094074,           0.0012134,             0.85227,             0.51071,             0.59493,             0.27333,            0.063833,           0.0086073,           0.0032113,            0.007921,            0.007921,            0.007921
                 107,            0.045794,           0.0092519,           0.0014028,              0.7058,             0.54039,             0.60901,              0.2662,            0.063358,           0.0085791,           0.0027607,           0.0079012,           0.0079012,           0.0079012
                 108,            0.043261,           0.0098036,           0.0013372,             0.65431,             0.58662,             0.60065,             0.26256,            0.064102,           0.0086585,           0.0024646,           0.0078814,           0.0078814,           0.0078814
                 109,            0.046845,           0.0092547,            0.001819,             0.70047,             0.56534,             0.61366,               0.304,            0.059936,           0.0090422,           0.0028162,           0.0078616,           0.0078616,           0.0078616
                 110,            0.044511,           0.0096371,            0.001108,             0.66521,             0.56219,             0.59408,             0.29523,            0.059545,           0.0091782,           0.0029853,           0.0078418,           0.0078418,           0.0078418
                 111,            0.046514,           0.0095947,           0.0012292,             0.73373,             0.50433,             0.58453,             0.30777,            0.061771,           0.0093202,           0.0027488,            0.007822,            0.007822,            0.007822
                 112,            0.047955,           0.0090275,           0.0015404,             0.72236,              0.5362,             0.59988,             0.28932,             0.06021,            0.009539,           0.0028299,           0.0078022,           0.0078022,           0.0078022
                 113,             0.04431,           0.0092649,           0.0014547,             0.79805,             0.50282,             0.59898,             0.30696,            0.061415,           0.0095359,           0.0026393,           0.0077824,           0.0077824,           0.0077824
                 114,            0.047238,           0.0094271,           0.0012876,             0.72536,              0.5421,             0.56725,               0.256,            0.063815,           0.0092669,             0.00311,           0.0077626,           0.0077626,           0.0077626
                 115,            0.044282,           0.0094002,           0.0012015,             0.71548,             0.56264,             0.57429,             0.27599,            0.060071,           0.0091764,           0.0037046,           0.0077428,           0.0077428,           0.0077428
                 116,            0.042674,           0.0093986,           0.0014721,             0.65973,             0.55751,             0.59585,             0.29403,            0.060819,            0.009031,           0.0041889,            0.007723,            0.007723,            0.007723
                 117,            0.047607,           0.0091562,           0.0015905,             0.65232,             0.51507,             0.55672,              0.2832,            0.063365,            0.009672,           0.0039737,           0.0077032,           0.0077032,           0.0077032
                 118,            0.046104,             0.01046,           0.0015418,             0.70688,              0.4876,             0.54528,             0.25569,            0.061881,           0.0095143,           0.0038337,           0.0076834,           0.0076834,           0.0076834
                 119,            0.045465,           0.0091233,           0.0014417,             0.81551,             0.49139,             0.58312,             0.27567,            0.062982,           0.0090241,           0.0031667,           0.0076636,           0.0076636,           0.0076636
                 120,            0.047805,           0.0094979,           0.0025671,             0.61309,             0.52837,             0.53728,             0.24336,            0.063219,            0.009718,           0.0089762,           0.0076438,           0.0076438,           0.0076438
                 121,             0.04731,            0.010252,           0.0019775,             0.74908,             0.46042,              0.5287,             0.24348,            0.062028,            0.010046,            0.010458,            0.007624,            0.007624,            0.007624
                 122,            0.048592,            0.010487,           0.0023564,             0.60707,             0.48886,             0.52484,             0.25975,            0.063734,           0.0093868,            0.007805,           0.0076042,           0.0076042,           0.0076042
                 123,            0.047028,            0.010094,           0.0017539,             0.62411,             0.50253,             0.53669,             0.25839,            0.062893,           0.0091284,           0.0014298,           0.0075844,           0.0075844,           0.0075844
                 124,            0.044057,           0.0096027,           0.0018039,             0.73223,             0.47958,             0.54856,             0.25071,            0.062193,           0.0090846,           0.0013219,           0.0075646,           0.0075646,           0.0075646
                 125,            0.045367,            0.009918,           0.0017669,             0.72351,             0.53532,             0.58581,             0.25926,            0.060807,           0.0092268,           0.0014434,           0.0075448,           0.0075448,           0.0075448
                 126,            0.045812,           0.0097262,           0.0022643,             0.75389,             0.50401,              0.5789,             0.25133,            0.062573,           0.0093091,           0.0014784,            0.007525,            0.007525,            0.007525
                 127,            0.044513,           0.0098696,             0.00165,             0.69989,             0.52138,             0.55008,              0.2616,            0.062651,           0.0090601,           0.0031918,           0.0075052,           0.0075052,           0.0075052
                 128,            0.045865,           0.0091234,           0.0010479,             0.70512,             0.53534,             0.58699,             0.26589,            0.060431,           0.0090196,           0.0022844,           0.0074854,           0.0074854,           0.0074854
                 129,            0.042973,             0.01027,           0.0012862,             0.65219,             0.58182,              0.5684,             0.26678,            0.063824,           0.0087745,           0.0022964,           0.0074656,           0.0074656,           0.0074656
                 130,            0.047059,           0.0099392,           0.0015246,             0.68803,             0.52732,             0.58057,             0.28542,            0.061262,           0.0090964,            0.002184,           0.0074458,           0.0074458,           0.0074458
                 131,             0.04862,           0.0097658,           0.0012379,             0.68552,             0.53237,             0.55662,              0.2294,            0.062754,           0.0090074,           0.0015299,            0.007426,            0.007426,            0.007426
                 132,            0.043375,            0.010095,           0.0016449,             0.73202,             0.56003,             0.58988,             0.25005,            0.062464,           0.0089875,           0.0016537,           0.0074062,           0.0074062,           0.0074062
                 133,            0.042741,           0.0085706,           0.0011814,             0.74371,             0.60969,             0.62464,             0.26241,            0.062199,           0.0090602,           0.0018064,           0.0073864,           0.0073864,           0.0073864
                 134,            0.042124,           0.0095962,           0.0012731,             0.73974,             0.56855,             0.61585,             0.25395,            0.061549,            0.008965,           0.0025845,           0.0073666,           0.0073666,           0.0073666
                 135,            0.045726,           0.0093555,           0.0013852,             0.67274,             0.53958,             0.57005,             0.22056,            0.063467,           0.0088079,           0.0036822,           0.0073468,           0.0073468,           0.0073468
                 136,            0.043472,           0.0088122,          0.00079991,             0.82795,             0.54255,             0.61086,             0.25947,            0.058176,           0.0090322,           0.0041091,            0.007327,            0.007327,            0.007327
                 137,            0.043267,           0.0093493,            0.001194,             0.81045,             0.56556,             0.63362,             0.29719,            0.058152,           0.0091826,           0.0037441,           0.0073072,           0.0073072,           0.0073072
                 138,            0.044735,           0.0096834,            0.001114,             0.79258,             0.57718,             0.63796,             0.28609,            0.059496,             0.00939,           0.0027652,           0.0072874,           0.0072874,           0.0072874
                 139,            0.039509,           0.0084302,          0.00095126,             0.85208,             0.52348,              0.6122,             0.27798,            0.059382,           0.0093838,           0.0025462,           0.0072676,           0.0072676,           0.0072676
                 140,            0.042413,           0.0090142,           0.0010255,             0.77774,             0.56534,             0.61547,              0.2867,            0.058866,           0.0090408,           0.0026376,           0.0072478,           0.0072478,           0.0072478
                 141,            0.042455,           0.0089641,           0.0010616,             0.76677,             0.54957,             0.61169,             0.29021,            0.059474,           0.0090131,           0.0022612,            0.007228,            0.007228,            0.007228
                 142,            0.043931,           0.0085717,           0.0013439,             0.74632,             0.56002,             0.59373,             0.26165,            0.062612,           0.0092038,           0.0036439,           0.0072082,           0.0072082,           0.0072082
                 143,            0.044812,           0.0093283,           0.0011436,             0.66912,             0.53735,             0.56693,             0.25655,            0.060343,           0.0093992,           0.0039866,           0.0071884,           0.0071884,           0.0071884
                 144,             0.04282,           0.0095706,           0.0013353,             0.66228,             0.55985,             0.55604,             0.25426,              0.0621,            0.009335,           0.0032077,           0.0071686,           0.0071686,           0.0071686
                 145,            0.042274,           0.0087755,           0.0010734,             0.62796,             0.54759,             0.55204,             0.25247,            0.060708,           0.0090807,           0.0028702,           0.0071488,           0.0071488,           0.0071488
                 146,            0.041798,           0.0092218,          0.00094914,             0.74727,              0.5248,              0.5898,             0.28882,            0.060574,           0.0089198,           0.0039978,            0.007129,            0.007129,            0.007129
                 147,            0.042378,           0.0087124,            0.001117,             0.71227,             0.56164,             0.59976,             0.28088,            0.061174,           0.0088937,           0.0038162,           0.0071092,           0.0071092,           0.0071092
                 148,             0.04194,            0.009194,            0.001304,             0.69383,             0.52309,             0.55413,             0.27719,            0.060134,           0.0092919,           0.0028665,           0.0070894,           0.0070894,           0.0070894
                 149,            0.043408,           0.0083602,           0.0012071,              0.7939,             0.49057,             0.57533,             0.26317,            0.059844,           0.0091572,           0.0031394,           0.0070696,           0.0070696,           0.0070696
                 150,            0.041792,           0.0087979,           0.0010052,             0.71698,             0.54782,             0.56955,             0.27448,            0.057787,           0.0091373,           0.0037979,           0.0070498,           0.0070498,           0.0070498
                 151,             0.04287,           0.0093708,           0.0011358,             0.68973,             0.54507,             0.56549,             0.27908,            0.058714,           0.0089666,           0.0037242,             0.00703,             0.00703,             0.00703
                 152,            0.042516,           0.0083427,          0.00076986,             0.80071,             0.50705,             0.58712,             0.27657,            0.061457,           0.0091893,           0.0029969,           0.0070102,           0.0070102,           0.0070102
                 153,            0.040425,           0.0083911,           0.0010215,             0.83373,             0.51474,             0.58702,             0.27325,            0.058235,           0.0095916,           0.0021955,           0.0069904,           0.0069904,           0.0069904
